서비스 ID,서비스명,OPENAPI서비스명,요청주소,요청기본인자,기본샘플명,기본샘플주소,OPENAPI메타URL
OA-10004,서울시 강서구 모범음식점 취소 현황,GangseoModelRestaurantCancel,http://openAPI.gangseo.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/GangseoModelRestaurantCancel/요청위치(정수)/요청종료위치(정수)",강서구 모범음식점(취소현황) 조회,http://openAPI.gangseo.seoul.kr:8088/sample/xml/GangseoModelRestaurantCancel/1/5/,https://data.gangseo.go.kr/openinf/openapiview.jsp?infId=OA-10004
OA-10005,서울시 강서구 모범음식점 신청 현황,GangseoModelRestaurantApply,http://openAPI.gangseo.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/GangseoModelRestaurantApply/요청위치(정수)/요청종료위치(정수)",강서구 모범음식점(신청현황) 조회,http://openAPI.gangseo.seoul.kr:8088/sample/xml/GangseoModelRestaurantApply/1/5/,https://data.gangseo.go.kr/openinf/openapiview.jsp?infId=OA-10005
OA-10015,서울시 강서구 노동조합 현황,GangseoListLaborUnion,http://openAPI.gangseo.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/GangseoListLaborUnion/요청위치(정수)/요청종료위치(정수)",강서구 노동조합대장 조회,http://openAPI.gangseo.seoul.kr:8088/sample/xml/GangseoListLaborUnion/1/5,https://data.gangseo.go.kr/openinf/openapiview.jsp?infId=OA-10015
OA-10019,서울시 강서구 대부업 현황,GangseoListLoanCompany,http://openAPI.gangseo.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/GangseoListLoanCompany/요청위치(정수)/요청종료위치(정수)",강서구 대부업등록대장 조회,http://openAPI.gangseo.seoul.kr:8088/sample/xml/GangseoListLoanCompany/1/5,https://data.gangseo.go.kr/openinf/openapiview.jsp?infId=OA-10019
OA-10030,서울시 도봉구 위생처리업 공중위생업소 현황,DobongPublicHygieneBizTreatment,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongPublicHygieneBizTreatment/요청위치(정수)/요청종료위치(정수)",도봉구 공중위생업소(위생처리업) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongPublicHygieneBizTreatment/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10030
OA-10031,서울시 도봉구 세척제 제조업 공중위생업소 현황,DobongPublicHygieneBizCleaningProducts,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongPublicHygieneBizCleaningProducts/요청위치(정수)/요청종료위치(정수)",도봉구 공중위생업소(세척제제조업) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongPublicHygieneBizCleaningProducts/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10031
OA-10032,서울시 도봉구 기타 위생용품 제조업 공중위생업소 현황,DobongPublicHygieneBizEtcProducts,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongPublicHygieneBizEtcProducts/요청위치(정수)/요청종료위치(정수)",도봉구 공중위생업소(기타위생용품제조업) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongPublicHygieneBizEtcProducts/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10032
OA-10039,서울시 도봉구 청소년 유해업소 현황,DobongJuvenileHarmfulBiz,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongJuvenileHarmfulBiz/요청위치(정수)/요청종료위치(정수)",2012년 10월 도봉구 청소년유해업소현황 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongJuvenileHarmfulBiz/1/5/201210,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10039
OA-10045,서울시 도봉구 식품위생업소 소재지별 운영 현황 (차트),DobongFoodHygieneBizLocManageDong,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongFoodHygieneBizLocManageDong/요청위치(정수)/요청종료위치(정수)",도봉구 식품위생업소 소재지별운영현황(법정동별) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongFoodHygieneBizLocManageDong/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10045
OA-10046,서울시 도봉구 공중위생업소 소재지별 운영 현황 (차트),DobongPublicHygieneBizLocManageDong,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongPublicHygieneBizLocManageDong/요청위치(정수)/요청종료위치(정수)",도봉구 공중위생업소 소재지별운영현황(법정동별) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongPublicHygieneBizLocManageDong/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10046
